HT NbSi thermometer resistance file for Run 0 on 20200814 on sample T20-5d, HT thermometer
T0 (K)    Rth (ohms)
30    1278.56
30.6073    1259.52
31.227    1228.85
31.8592    1208.81
32.5041    1198.79
33.1622    1184.66
33.8335    1157.19
34.5185    1154.04
35.2173    1121.58
35.9303    1111.04
36.6577    1108.24
37.3998    1081.14
38.1569    1082.34
38.9294    1055.5
39.7175    1041.23
40.5216    1030.24
41.342    1026.16
42.1789    1015.76
43.0328    1006.54
43.904    990.971
44.7928    982.646
45.6997    981.269
46.6248    971.241
47.5687    962.929
48.5318    947.904
49.5143    958.197
50.5167    947.694
51.5394    931.245
52.5828    931.53
53.6473    931.49
54.7334    922.836
