Kappa file for Run 0 on 20200814 on sample T20-5d, HT thermometer
T0 (K)    Power (W)    Rth (ohms)    dR (ohms)    Ith (A)
45.7095    1.78611e-06   975.907    -5.36157    2.6086e-09
45.7055    2.68084e-06   961.964    -19.3047    2.61184e-09
45.7035    3.57479e-06   969.925    -11.3441    2.61e-09
46.6465    0   971.241    0    2.61444e-09
46.6385    9.17429e-07   960.992    -10.249    2.61084e-09
46.632    1.83519e-06   966.959    -4.28178    2.61025e-09
46.629    2.7567e-06   959.818    -11.4222    2.61534e-09
46.628    3.67605e-06   955.936    -15.3049    2.61524e-09
47.5885    0   962.929    0    2.62013e-09
47.5815    9.38169e-07   959.787    -3.14179    2.60735e-09
47.575    1.87781e-06   955.004    -7.92416    2.61124e-09
47.5725    2.8177e-06   953.532    -9.3968    2.6103e-09
47.5715    3.75895e-06   953.642    -9.28711    2.61838e-09
48.551    0   947.904    0    2.62078e-09
48.544    9.75461e-07   947.705    -0.199788    2.61289e-09
48.538    1.95126e-06   944.99    -2.91465    2.61035e-09
48.5355    2.92974e-06   953.45    5.54588    2.61629e-09
48.5345    3.90861e-06   941.977    -5.92739    2.61684e-09
49.5325    0   958.197    0    1.59422e-08
49.5255    1.00459e-06   956.939    -1.25801    1.59409e-08
49.5205    2.0134e-06   955.252    -2.94506    1.59411e-08
49.5185    3.02135e-06   952.393    -5.80384    1.59406e-08
49.517    4.0286e-06   951.715    -6.48171    1.59425e-08
50.5345    0   947.694    0    2.61239e-09
50.528    1.03311e-06   933.914    -13.7809    2.61534e-09
50.5225    2.06992e-06   932.059    -15.6352    2.61679e-09
50.5205    3.10766e-06   936.167    -11.5274    2.61065e-09
50.5195    4.14319e-06   934.694    -13.0008    2.60995e-09
51.559    0   931.245    0    2.6078e-09
51.5515    1.06896e-06   933.413    2.16764    2.61005e-09
51.5455    2.14134e-06   931.776    0.530498    2.609e-09
51.543    3.21448e-06   933.012    1.76665    2.6101e-09
51.542    4.28708e-06   930.137    -1.10796    2.60795e-09
52.6    0   931.53    0    2.60485e-09
52.5935    1.08447e-06   932.458    0.927471    2.60146e-09
52.588    2.17075e-06   930.011    -1.51902    2.60266e-09
52.586    3.26144e-06   928.183    -3.34784    2.60321e-09
52.5855    4.34929e-06   922.259    -9.27168    2.6042e-09
53.6665    0   931.49    0    2.61194e-09
53.659    1.12764e-06   926.641    -4.84972    2.61104e-09
53.653    2.25466e-06   919.845    -11.6456    2.60805e-09
53.6505    3.38563e-06   920.286    -11.2048    2.61359e-09
53.65    4.51891e-06   916.519    -14.9716    2.61424e-09
54.749    0   922.836    0    2.61368e-09
54.7425    1.15486e-06   922.648    -0.188453    2.61085e-09
54.738    2.30945e-06   913.996    -8.84007    2.61133e-09
54.7365    3.46726e-06   913.405    -9.43116    2.6122e-09
54.736    4.62818e-06   910.786    -12.0502    2.6134e-09
