Tau file for Run 0 on 20200814 on sample T20-5d, HT thermometer, dT/T0 = 0.02
T0 (K)    Tau (s)
30    0.242201
30.608    0.269579
31.228    0.279784
31.861    0.290713
32.505    0.283411
33.163    0.313376
33.835    0.842294
34.519    0.335064
35.219    0.35022
35.931    0.980534
36.659    0.372727
37.401    0.421507
38.158    0.402193
38.93    0.416138
39.719    0.430951
40.523    0.446881
41.343    0.461629
42.18    0.476876
43.034    0.492991
43.906    0.508902
44.794    0.522636
45.701    0.540892
46.627    0.555957
47.57    0.572582
48.533    1.34305
49.516    0.601188
50.518    0.62442
51.54    0.636223
52.585    0.66199
53.648    0.676402
54.735    1.76278
