LT NbSi thermometer resistance file for Run 0 on 20200811 on sample T20-5d, LT thermometer
T0 (K)    Rth (ohms)
2.35    20363.7
2.39758    19455.8
2.44611    18676.4
2.49563    17919.7
2.54616    17096.4
2.5977    16257
2.65029    15492.9
2.70395    14777.9
2.75869    14071.3
2.81454    13450.1
2.87152    12844.9
2.92965    12253.8
2.98896    11659.4
3.04947    11136.3
3.11121    10623.5
3.17419    10109.5
3.23845    9652.31
3.30402    9226.47
3.3709    8792.26
3.43915    8400.52
3.50877    8026.55
3.57981    7675.78
3.65228    7334.2
3.72622    7027.42
3.80165    6699.8
3.87862    6420.05
3.95714    6138.33
4.03725    5862.37
4.11898    5614.49
4.20237    5352.12
4.28745    5137.29
4.37425    4916.7
4.4628    4708.41
4.55315    4485.36
4.64533    4297.99
4.73937    4123.19
4.83532    3963.59
4.93321    3779.44
5.03308    3617.88
5.13497    3471.97
5.23893    3325.18
